URL,Airline,Year,Top/Base,Salary_info,salary,currency,gross-net
https://www.pilotjobsnetwork.com/jobs/British_Airways_Mainline,British Airways Mainline,2023,CaptMax,"Short Haul Â£166,517 Long Haul Â£196,438","181477,5",GBP,gross
https://www.pilotjobsnetwork.com/jobs/British_Airways_Mainline,British Airways Mainline,2023,CaptMin,"Short Haul & Long Haul Â£87,876 Based on year 1 on pay scale. Time to command: Short Haul: 1yr Long Haul: 18yrs",87876,GBP,gross
https://www.pilotjobsnetwork.com/jobs/Cargo_Air,Cargo Air,2019,CaptMax,Basic salary: 4000 EUR/month (after taxes). Per/Diem: 130 EUR/day (after taxes) for each day out of home. Average Total Pay: 6000 EUR/month (after taxes),48000,EUR,net
https://www.pilotjobsnetwork.com/jobs/Cargo_Air,Cargo Air,2019,CaptMin,Basic salary: 3500 EUR/month (after taxes). Per/Diem: 130 EUR/day (after taxes) for each day out of home. Average Total Pay: 5000 EUR/month (after taxes),42000,EUR,net
https://www.pilotjobsnetwork.com/jobs/DHL_Air_UK,DHL Air UK,2023,CaptMax,172102,172102,GBP,gross
https://www.pilotjobsnetwork.com/jobs/DHL_Air_UK,DHL Air UK,2023,CaptMin,121646,121646,GBP,gross
https://www.pilotjobsnetwork.com/jobs/LOT_Polish_Airlines,LOT Polish Airlines,2022,CaptMax,Longhaul (per month): minimum: 12860 PLN expect: 38500 PLN Shorhaul (per month): minimum: 12340 PLN expect: 35100 PLN,293160,PLN,
https://www.pilotjobsnetwork.com/jobs/LOT_Polish_Airlines,LOT Polish Airlines,2022,CaptMin,Longhaul (per month): minimum: 11020 PLN expect: 33000 PLN Shorhaul (per month): minimum: 10500 PLN expect: 29900 PLN,264120,PLN,
https://www.pilotjobsnetwork.com/jobs/Peach_Aviation,Peach Aviation,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/Peach_Aviation,Peach Aviation,,CaptMin,,,,
https://www.pilotjobsnetwork.com/jobs/Eurowings_GmbH,Eurowings GmbH,2023,CaptMax,"14.540 x 13 = 189.021,43 euro TRE = +1.700 euro/month TRI = +1.600 euro/month LTC = +800 euro/month (+variable allowances for each check/training event)",189021,EUR,
https://www.pilotjobsnetwork.com/jobs/Eurowings_GmbH,Eurowings GmbH,2023,CaptMin,"8.611,37 x 13 = 111.947,81 euro (or at least +1.300 euro/month after upgrade to CPT). That means all FO with high seniority, who used to be capped at rank 11, will move to CPT rank 4 after upgrade.",111948,EUR,
https://www.pilotjobsnetwork.com/jobs/DC_Aviation,DC Aviation,2023,CaptMax,CPT LJ 9600E CPT MJ 9000E (old contracts only),115200,EUR,
https://www.pilotjobsnetwork.com/jobs/DC_Aviation,DC Aviation,2011,CaptMin,"CPT LJ 7000E, CPT MJ 6400E",76800,EUR,
https://www.pilotjobsnetwork.com/jobs/ASL_Airlines_Belgium,ASL Airlines Belgium,,CaptMax,+2.5% per year,"61939,70144",EUR,net
https://www.pilotjobsnetwork.com/jobs/ASL_Airlines_Belgium,ASL Airlines Belgium,2007,CaptMin,about monthly 3150eur after tax,37800,EUR,net
https://www.pilotjobsnetwork.com/jobs/Greater_Bay_Airlines,Greater Bay Airlines,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/Greater_Bay_Airlines,Greater Bay Airlines,2022,CaptMin,$80000 HKD/MTH,960000,HKD,
https://www.pilotjobsnetwork.com/jobs/Eurowings_Europe_Ltd,Eurowings Europe Ltd,2023,CaptMax,AT 117.252 â¬ gross/year ES 126.948 â¬ gross/year CZ 60.872 â¬ gross/year SE 811.368 SEK gross/year (This does not include 13th and 14th additional payment),811368,SEK,gross
https://www.pilotjobsnetwork.com/jobs/Eurowings_Europe_Ltd,Eurowings Europe Ltd,2023,CaptMin,AT 73.296 â¬ gross/year ES 87.132 â¬ gross/year CZ 43.470 â¬ gross/year SE 521.592 SEK gross /year (This does not include 13th and 14th additional payment),521592,SEK,gross
